ID,X1 - Customer Type,X2 - Industry Type,X3 - Firm Size,X4 - Region,X5 - Distribution System,X6 - Product Quality,X7 - E-Commerce,X8 - Technical Support,X9 - Complaint Resolution,X10 - Advertising,X11 - Product Line,X12 - Salesforce Image,X13 - Competitive Pricing,X14 - Warranty & Claims,X15 - New Products,X16 - Order & Billing,X17 - Price Flexibility,X18 - Delivery Speed,X19 - Satisfaction,X20 - Likely to Recommend,X21 - Likely to Purchase,X22 - Purchase Level,X23 - Consider Strategic Alliance
1,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,8.5,3.9,2.5,5.9,4.8,4.9,6,6.8,4.7,4.3,5,5.1,3.7,8.2,8,8.4,65.1,"Yes, would consider"
2,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,8.2,2.7,5.1,7.2,3.4,7.9,3.1,5.3,5.5,4,3.9,4.3,4.9,5.7,6.5,7.5,67.1,"No, would not consider"
3,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.2,3.4,5.6,5.6,5.4,7.4,5.8,4.5,6.2,4.6,5.4,4,4.5,8.9,8.4,9,72.1,"Yes, would consider"
4,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.4,3.3,7,3.7,4.7,4.7,4.5,8.8,7,3.6,4.3,4.1,3,4.8,6,7.2,40.1,"No, would not consider"
5,1 to 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,9,3.4,5.2,4.6,2.2,6,4.5,6.8,6.1,4.5,4.5,3.5,3.5,7.1,6.6,9,57.1,"No, would not consider"
6,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.5,2.8,3.1,4.1,4,4.3,3.7,8.5,5.1,9.5,3.6,4.7,3.3,4.7,6.3,6.1,50.1,"No, would not consider"
7,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.9,3.7,5,2.6,2.1,2.3,5.4,8.9,4.8,2.5,2.1,4.2,2,5.7,7.8,7.2,41.1,"No, would not consider"
8,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.2,3.3,3.9,4.8,4.6,3.6,5.1,6.9,5.4,4.8,4.3,6.3,3.7,6.3,5.8,7.7,56.1,"No, would not consider"
9,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.8,3.6,5.1,6.7,3.7,5.9,5.8,9.3,5.9,4.4,4.4,6.1,4.6,7,7.5,8.2,56.1,"Yes, would consider"
10,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.4,4.5,5.1,6.1,4.7,5.7,5.7,8.4,5.4,5.3,4.1,5.8,4.4,5.5,5.9,6.7,59.1,"No, would not consider"
11,Over 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,8.7,3.2,4.6,4.8,2.7,6.8,4.6,6.8,5.8,7.5,3.8,3.7,4,7.4,7,8.4,68.1,"No, would not consider"
12,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.1,4.9,6.3,3.9,4.4,3.9,6.4,8.2,5.8,5.9,3,4.9,3.2,6,6.3,6.6,53.1,"No, would not consider"
13,Less than 1 year,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.5,5.6,4.6,6.9,5,6.9,6.6,7.6,6.5,5.3,5.1,4.5,4.4,8.4,8.4,7.9,58.1,"Yes, would consider"
14,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.2,3.9,5.7,5.5,2.4,8.4,4.8,7.1,6.7,3,4.5,2.6,4.2,7.6,6.9,8.2,72.1,"Yes, would consider"
15,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,6.3,4.5,4.7,6.9,4.5,6.8,5.9,8.8,6,5.4,4.8,6.2,5.2,8,7,7.6,62.1,"Yes, would consider"
16,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.7,3.2,4,6.8,3.2,7.8,3.8,4.9,6.1,5,4.3,3.9,4.5,6.6,6.4,7.1,71.1,"No, would not consider"
17,1 to 5 years,Newsprint industry,Small (0 to 499),Outside North America,Direct to customer,5.7,4,6.7,6,3.3,5.5,5.1,6.2,6.7,5.4,4.2,6.2,4.5,6.4,7.5,7.2,50.1,"Yes, would consider"
18,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,5.9,4.1,5.5,7.2,3.5,6.4,5.5,8.4,6.2,6.3,5.7,5.8,4.8,7.4,6.9,8.2,58.1,"Yes, would consider"
19,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.6,3.4,5.1,6.4,3.7,5.7,5.6,9.1,5.4,6.1,5,6,4.5,6.8,7.5,7.9,55.1,"No, would not consider"
20,Over 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,9.1,4.5,3.6,6.4,5.3,5.3,7.1,8.4,5.8,6.7,4.5,6.1,4.4,7.6,8.5,8.8,67.1,"Yes, would consider"
21,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,5.2,3.8,7.1,5.2,3.9,4.3,5,8.4,7.1,4.6,3.3,4.9,3.3,5.4,5.5,7,50.1,"No, would not consider"
22,Over 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,9.6,5.7,6.8,5.9,5.4,8.3,7.8,4.5,6.4,6.5,4.3,3,4.3,9.9,9.6,9.9,70.1,"Yes, would consider"
23,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.6,3.6,7.4,5.1,3.5,7.3,4.7,3.7,6.7,6,4.8,3.4,4,7,7.1,8.1,60.1,"No, would not consider"
24,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.3,2.4,2.6,7.2,2.2,7.2,4.5,6.2,6.4,4.2,6.7,4.4,4.5,8.6,8.1,8,65.1,"Yes, would consider"
25,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,6,4.1,5.3,4.7,3.5,5.3,5.3,8,6.5,3.9,4.7,5.3,4,4.8,4.9,5.5,55.1,"No, would not consider"
26,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.4,3.6,6.6,6.1,4,3.9,5.3,7.1,6.1,3.7,5.6,6.6,3.9,6.6,6.8,7,58.1,"No, would not consider"
27,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.5,3,7.2,5.8,4.1,7.6,3.7,4.8,6.9,6.7,5.3,3.8,4.4,6.3,7.1,7,70.1,"No, would not consider"
28,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,7,3.3,5.4,5.5,2.6,4.8,4.2,9,6.5,5.9,4.3,5.2,3.7,5.4,5.5,5.6,55.1,"No, would not consider"
29,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.5,3,5.7,6,2.3,7.6,3.7,4.8,5.8,6,5.7,3.8,4.4,6.3,6.9,7.2,70.1,"No, would not consider"
30,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.6,3.6,3,4,5.1,4.2,4.6,7.7,4.9,7.2,4.7,5.5,3.5,5.4,5.5,6.2,52.1,"No, would not consider"
31,Less than 1 year,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,6.9,3.4,8.5,4.3,4.5,6.4,4.7,5.2,7.7,3.3,3.7,2.7,3.3,6.1,6.8,7.1,44.1,"No, would not consider"
32,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,8.1,2.5,7.2,4.5,2.3,5.1,3.8,6.6,6.8,6.1,3,3.5,3,6.4,5.8,6.2,51.1,"No, would not consider"
33,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.7,3.7,6.5,5.3,5.3,5.1,4.9,9.2,5.7,4.2,3.5,4.5,3.4,5.4,6.5,7.6,44.1,"No, would not consider"
34,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,8,3.3,6.1,5.7,5.5,4.6,4.7,8.7,5.9,3.8,4.7,6.6,4.2,7.3,7.5,9,62.1,"Yes, would consider"
35,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.7,4,5.2,3.9,3,5.4,6.8,8.4,6.2,6,2.5,4.3,3.5,6.3,6.6,6.7,54.1,"No, would not consider"
36,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.7,3.2,6.1,4.3,3.5,6.1,2.9,5.6,6.1,6.5,3.1,2.9,2.5,5.4,4.6,7.1,51.1,"No, would not consider"
37,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,9,3.4,5.9,4.6,3.9,6,4.5,6.8,6.4,4.3,3.9,3.5,3.5,7.1,8,7.2,57.1,"No, would not consider"
38,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.6,4.1,6.2,7.3,2.9,7.7,5.5,7.7,6.1,4.4,5.2,4.6,4.9,8.7,9.9,9.9,77.1,"Yes, would consider"
39,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,8.2,3.6,3.9,6.2,5.8,4.9,5,9,5.2,7.1,4.7,6.9,4.5,7.6,6.9,7.6,65.1,"Yes, would consider"
40,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,6.1,4.9,3,4.8,5.1,3.9,6.4,8.2,5.1,6.8,4.5,4.9,3.2,6,5.5,5.8,53.1,"No, would not consider"
41,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,8.3,3.4,3.3,5.5,3.1,4.6,5.2,9.1,4.1,1.7,4.6,5.8,3.9,7,7.5,8.4,61.1,"Yes, would consider"
42,1 to 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.4,3.8,4.7,5.4,3.8,6.5,4.9,8.5,4.9,6.2,4.1,4.5,4.1,7.6,8,7.9,61.1,"Yes, would consider"
43,Over 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,9.3,5.1,4.6,6.8,5.8,6.6,6.3,7.4,5.1,4.1,4.6,4.6,4.3,8.9,7.8,7.6,72.1,"Yes, would consider"
44,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,5.1,5.1,6.6,6.9,4.4,5.4,7.8,5.9,7.2,5.2,4.9,6.3,4.5,7.6,7.9,8.4,55.1,"Yes, would consider"
45,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,8,2.5,4.7,7.1,3.6,7.7,3,5.2,5.1,3.9,4.3,4.2,4.7,5.5,5.6,6.5,65.1,"No, would not consider"
46,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,5.9,4.1,5.7,5.9,5.8,6.4,5.5,8.4,6.4,5.1,5.2,5.8,4.8,7.4,8.6,7.7,58.1,"Yes, would consider"
47,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,Excellent,4.3,7.1,6.3,2.9,5.4,4.5,3.8,6.7,3.7,5,4,3.5,7.1,8.8,8,67.1,"Yes, would consider"
48,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.7,3.8,6.8,7.5,5.7,5.7,6,8.2,6.6,4.8,6.5,7.3,5.2,7.6,7.6,7.1,60.1,"No, would not consider"
49,Over 5 years,Magazine industry,Small (0 to 499),Outside North America,Direct to customer,9.9,3.7,3.7,6.1,4.2,7,6.7,6.8,5.9,7.2,4.5,3.4,3.9,8.7,8.1,8.5,67.1,"Yes, would consider"
50,Over 5 years,Newsprint industry,Large (500+),USA/North America,Direct to customer,7.9,3.9,4.3,5.8,4.4,6.9,5.8,4.7,5.2,3.6,4.1,4.2,4.3,8.6,7.8,7.6,61.1,"Yes, would consider"
51,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.7,3.6,5.9,4.2,3.4,4.7,4.8,7.2,5.7,5.3,4,3.6,2.8,5.4,7.5,7.2,48.1,"No, would not consider"
52,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,8.2,2.7,3.7,7.4,2.7,7.9,3.1,5.3,5.3,5,4.5,4.3,4.9,5.7,7.1,8.2,67.1,"Yes, would consider"
53,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.4,2.5,4.8,6.1,3.2,7.3,4.6,6.3,6.3,9.2,4.7,4.6,4.6,8.7,9,9,66.1,"Yes, would consider"
54,Less than 1 year,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,6.9,3.4,5.7,4.4,3.3,6.4,4.7,5.2,6.4,4.4,3.2,2.7,3.3,6.1,7,7.2,44.1,"No, would not consider"
55,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,8,3.3,3.8,5.8,3.2,4.6,4.7,8.7,5.3,4.2,4.9,6.6,4.2,7.3,8.1,8.1,62.1,"Yes, would consider"
56,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.3,3.8,7.3,5.7,3.7,6.4,5.5,7.4,6.6,5.9,4.1,3.2,3.4,7.7,7.6,8.9,59.1,"Yes, would consider"
57,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,7.4,5.1,4.8,7.7,4.5,7.2,6.9,9.6,6.4,7.4,5.7,6.5,5.5,9,7.9,8.8,74.1,"Yes, would consider"
58,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,7.6,3.6,5.2,5.8,5.6,6.6,5.4,4.4,6.7,6.4,4.6,3.9,4,8.2,7.5,7.5,58.1,"Yes, would consider"
59,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,Excellent,4.3,5.3,3.7,4.2,5.4,4.5,3.8,6.7,4.5,3.7,4,3.5,7.1,6.5,7,67.1,"No, would not consider"
60,Over 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,9.9,2.8,7.2,6.9,2.6,5.8,3.5,5.4,6.2,7,5.6,4.9,4,7.9,8.5,8.5,61.1,"Yes, would consider"
61,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.7,3.2,8.4,6.1,2.8,7.8,3.8,4.9,7.2,4.5,5.4,3.9,4.5,6.6,6.9,7.2,71.1,"Yes, would consider"
62,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,8.4,3.8,6.7,5,4.5,4.7,5.9,6.7,5.1,4.2,2.7,5,3.6,8,7.6,8.8,63.1,"Yes, would consider"
63,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.8,3.9,3.8,5.1,4.3,4.7,4.8,5.8,5,7.2,4.4,3.7,2.9,6.3,5.5,8,44.1,"No, would not consider"
