Group,HeadWidth,HeadCircum,FBEye,EyetoHeadTop,EartoHeadTop,JawWidth
1,13.5,57.15,19.5,12.5,14,11
1,15.5,58.42,21,12,16,12
1,14.5,55.88,19,10,13,12
1,15.5,58.42,20,13.5,15,12
1,14.5,58.42,20,13,15.5,12
1,14,60.96,21,12,14,13
1,15,58.42,19.5,13.5,15.5,13
1,15,58.42,21,13,14,13
1,15.5,59.69,20.5,13.5,14.5,12.5
1,15.5,59.69,20.5,13,15,13
1,15,57.15,19,14,14.5,11.5
1,15.5,59.69,21,13,16,12.5
1,16,57.15,19,14,14.5,12
1,15.5,62.23,21.5,14,16,12
1,15.5,57.15,19.5,13.5,15,12
1,14,60.96,20,15,15,12
1,14.5,58.42,20,12,14.5,12
1,15,56.9,19,13,14,12.5
1,15.5,59.69,20,12.5,14,12.5
1,15,57.15,19.5,12,14,11
1,15,56.9,19,12,13,12
1,15.5,56.9,19.5,14.5,14.5,13
1,17.5,63.5,21.5,14,15.5,13.5
1,15.5,57.15,19,13,15.5,12.5
1,15.5,60.96,20.5,12,13,12.5
1,15.5,60.96,21,14.5,15.5,12.5
1,15.5,63.5,21.75,14.5,16.5,13.5
1,14.5,58.42,20.5,13,16,10.5
1,15.5,56.9,20,13.5,14,12
1,16,60.96,20,12.5,14.5,12.5
2,15.5,59.69,21.1,10.3,13.4,12.4
2,15.4,59.7,20,12.8,14.5,11.3
2,15.1,59.7,20.2,11.4,14.1,12.1
2,14.3,56.9,18.9,11,13.4,11
2,14.8,58,20.1,9.6,11.1,11.7
2,15.2,57.5,18.5,9.9,12.8,11.4
2,15.4,58,20.8,10.2,12.8,11.9
2,16.3,58,20.1,8.8,13,12.9
2,15.5,57,19.6,10.5,13.9,11.8
2,15,56.5,19.6,10.4,14.5,12
2,15.5,57.2,20,11.2,13.4,12.4
2,15.5,56.5,19.8,9.2,12.8,12.2
2,15.7,57.5,19.8,11.8,12.6,12.5
2,14.4,57,20.4,10.2,12.7,12.3
2,14.9,54.8,18.5,11.2,13.8,11.3
2,16.5,59.8,20.2,9.4,14.3,12.2
2,15.5,56.1,18.8,9.8,13.8,12.6
2,15.3,55,19,10.1,14.2,11.6
2,14.5,55.6,19.3,12,12.6,11.6
2,15.5,56.5,20,9.9,13.4,11.5
2,15.2,55,19.3,9.9,14.4,11.9
2,15.3,56.5,19.3,9.1,12.8,11.7
2,15.3,56.8,20.2,8.6,14.2,11.5
2,15.8,55.5,19.2,8.2,13,12.6
2,14.8,57,20.2,9.8,13.8,10.5
2,15.2,56.9,19.1,9.6,13,11.2
2,15.9,58.8,21,8.6,13.5,11.8
2,15.5,57.3,20.1,9.6,14.1,12.3
2,16.5,58,19.5,9,13.9,13.3
2,17.3,62.6,21.5,10.3,13.8,12.8
3,14.9,56.5,20.4,7.4,13,12
3,15.4,57.5,19.5,10.5,13.8,11.5
3,15.3,55.4,19.2,9.7,13.3,11.5
3,14.6,56,19.8,8.5,12,11.5
3,16.2,56.5,19.5,11.5,14.5,11.8
3,14.6,58,19.9,13,13.4,11.5
3,15.9,56.7,18.7,10.8,12.8,12.6
3,14.7,55.8,18.7,11.1,13.9,11.2
3,15.5,58.5,19.4,11.5,13.4,11.9
3,16.1,60,20.3,10.6,13.7,12.2
3,15.2,57.8,19.9,10.4,13.5,11.4
3,15.1,56,19.4,10,13.1,10.9
3,15.9,59.8,20.5,12,13.6,11.5
3,16.1,57.7,19.7,10.2,13.6,11.5
3,15.7,58.7,20.7,11.3,13.6,11.3
3,15.3,56.9,19.6,10.5,13.5,12.1
3,15.3,56.9,19.5,9.9,14,12.1
3,15.2,58,20.6,11,15.1,11.7
3,16.6,59.3,19.9,12.1,14.6,12.1
3,15.5,58.2,19.7,11.7,13.8,12.1
3,15.8,57.5,18.9,11.8,14.7,11.8
3,16,57.2,19.8,10.8,13.9,12
3,15.4,57,19.8,11.3,14,11.4
3,16,59.2,20.8,10.4,13.8,12.2
3,15.4,57.6,19.6,10.2,13.9,11.7
3,15.8,60.3,20.8,12.4,13.4,12.1
3,15.4,55,18.8,10.7,14.2,10.8
3,15.5,58.4,19.8,13.1,14.5,11.7
3,15.7,59,20.4,12.1,13,12.7
3,17.3,61.7,20.7,11.9,13.3,13.3
